EARTHQUAKE RATE UNCERTAINTY OUTPUT 
parameter file,rate-prvi-crustal-v6-params.R
RData file,rateunc-Crustal-Prob-v6.RData
Calculation start and end,Fri Jul 11 11:08:29 2025,Fri Jul 11 11:19:56 2025
Region name,Crustal
Version,v6
Catalog type,Prob
b mean,0.97
b sigma,0.12
max n sigma b,3
delta,0.1
M1,5
Mmax,7.5
Mc sigma,0.2
max n sigma Mc,3
Mc distribution is one-sided (only larger than Mc) 
min M sigma,0.2
max n sigma M,3
nsamples=,1e+05
Magnitude corrections are recomputed 
RegionCrustal
catalog file,pmmx_070825_c2-crustal2_inpolygon.csv.RData
n epochs,1
t start,t end,Mc
1973,2024,5
BRANCHES Note: quantile=2 is used to label a mean branch
Note: all rates are cumulative
Note: calcultions assume a Poisson process
Note: quantile=2 is used to label a mean branch
M1 Branches
n quantiles,6
quantile,Rate M>=M1,b
2,0.874,0.97
0.025,0.531,1.21
0.16,0.689,1.09
0.5,0.864,0.97
0.84,1.06,0.85
0.975,1.28,0.73
M1-Mmax Branches
n quantiles,6
quantile,Rate M>=M1,b
2,0.874,0.935
0.025,0.531,1.12
0.16,0.689,1.05
0.5,0.864,0.972
0.84,1.06,0.89
0.975,1.28,0.811
Exact Branches
n quantiles,6
n magnitudes,73
Mag,quantiles...
,2,0.025,0.16,0.5,0.84,0.975
2.5,302.73,51.15,105.97,227.36,487.57,1005.3
2.6,237.52,43.076,86.978,181.89,379.77,763.21
2.7,186.49,36.204,71.393,145.55,295.89,579.54
2.8,146.53,30.429,58.64,116.48,230.49,440.64
2.9,115.21,25.586,48.098,93.152,179.62,334.81
3,90.65,21.5,39.471,74.504,139.99,254.51
3.1,71.378,18.073,32.386,59.589,109.14,193.82
3.2,56.244,15.192,26.581,47.665,85.094,147.4
3.3,44.35,12.743,21.821,38.143,66.361,112.4
3.4,34.997,10.698,17.898,30.513,51.732,85.469
3.5,27.637,8.9825,14.681,24.414,40.345,65.154
3.6,21.841,7.5417,12.046,19.538,31.473,49.647
3.7,17.273,6.3078,9.8707,15.63,24.565,37.858
3.8,13.67,5.2819,8.0928,12.497,19.182,28.883
3.9,10.827,4.4104,6.6269,10.003,14.978,22.038
4,8.5813,3.6879,5.4253,8.0048,11.702,16.813
4.1,6.8065,3.0736,4.4381,6.4051,9.1492,12.843
4.2,5.4027,2.5597,3.6292,5.1267,7.1541,9.8392
4.3,4.2917,2.1247,2.965,4.1049,5.6019,7.5424
4.4,3.4116,1.7606,2.4219,3.2877,4.39,5.7936
4.5,2.7141,1.4539,1.9731,2.6313,3.4438,4.4611
4.6,2.1607,1.1982,1.6066,2.1052,2.7095,3.4451
