EARTHQUAKE RATE UNCERTAINTY OUTPUT 
parameter file,rate-prvi-mue-intraslab-v6-params.R
RData file,rateunc-MUE Intraslab-Prob-v6.RData
Calculation start and end,Fri Jul 11 11:21:48 2025,Fri Jul 11 11:24:19 2025
Region name,MUE Intraslab
Version,v6
Catalog type,Prob
b mean,0.97
b sigma,0.12
max n sigma b,3
delta,0.1
M1,5
Mmax,7.5
Mc sigma,0.2
max n sigma Mc,3
Mc distribution is one-sided (only larger than Mc) 
min M sigma,0.2
max n sigma M,3
nsamples=,1e+05
Magnitude corrections are recomputed 
RegionMUE Intraslab
catalog file,pmmx_070825_c2-mue_intraslab2_inpolygon.csv.RData
n epochs,1
t start,t end,Mc
1973,2024,5
BRANCHES Note: quantile=2 is used to label a mean branch
Note: all rates are cumulative
Note: calcultions assume a Poisson process
Note: quantile=2 is used to label a mean branch
M1 Branches
n quantiles,6
quantile,Rate M>=M1,b
2,0.42,0.97
0.025,0.202,1.21
0.16,0.295,1.09
0.5,0.408,0.97
0.84,0.543,0.85
0.975,0.708,0.73
M1-Mmax Branches
n quantiles,6
quantile,Rate M>=M1,b
2,0.42,0.935
0.025,0.202,1.09
0.16,0.295,1.04
0.5,0.408,0.972
0.84,0.543,0.9
0.975,0.708,0.828
Exact Branches
n quantiles,6
n magnitudes,73
Mag,quantiles...
,2,0.025,0.16,0.5,0.84,0.975
2.5,144.98,21.727,48.125,106.2,233.9,505.21
2.6,113.76,18.248,39.496,85.034,182.53,383.94
2.7,89.319,15.33,32.368,68.053,142.21,292.61
2.8,70.182,12.872,26.546,54.454,110.9,222.65
2.9,55.184,10.81,21.768,43.594,86.49,169.65
3,43.423,9.0598,17.846,34.883,67.475,129.36
3.1,34.193,7.5835,14.636,27.914,52.69,98.577
3.2,26.945,6.3512,11.991,22.336,41.171,75.122
3.3,21.249,5.3218,9.8301,17.868,32.185,57.337
3.4,16.769,4.445,8.0535,14.292,25.162,43.738
3.5,13.243,3.7111,6.5851,11.431,19.681,33.416
3.6,10.467,3.1027,5.3878,9.1474,15.398,25.521
3.7,8.2783,2.5819,4.412,7.3165,12.048,19.521
3.8,6.5523,2.1454,3.6067,5.8574,9.4304,14.952
3.9,5.19,1.7854,2.9509,4.6902,7.3852,11.464
4,4.114,1.4805,2.4111,3.7556,5.7883,8.7893
4.1,3.2635,1.2276,1.9658,3.0086,4.541,6.7539
4.2,2.5907,1.0168,1.6006,2.409,3.5646,5.1992
4.3,2.0582,0.83907,1.3028,1.9279,2.7993,4.0138
4.4,1.6363,0.69207,1.0597,1.5446,2.2038,3.1006
4.5,1.3019,0.56826,0.86032,1.2385,1.7362,2.4063
4.6,1.0366,0.46423,0.69717,0.9923,1.3716,1.8688
