segment Georgia
35.001 -83.109
34.996 -83.106
34.993 -83.105
34.989 -83.104
34.983 -83.107
34.981 -83.11
34.976 -83.112
34.968 -83.12
34.964 -83.122
34.959 -83.121
34.955 -83.124
34.954 -83.127
34.949 -83.127
34.945 -83.123
34.944 -83.122
34.943 -83.121
34.941 -83.12
34.939 -83.121
34.938 -83.123
34.937 -83.125
34.938 -83.128
34.937 -83.129
34.935 -83.13
34.932 -83.13
34.931 -83.131
34.925 -83.141
34.925 -83.143
34.927 -83.15
34.926 -83.153
34.924 -83.156
34.92 -83.158
34.918 -83.161
34.919 -83.164
34.919 -83.165
34.918 -83.168
34.918 -83.169
34.914 -83.171
34.911 -83.174
34.91 -83.175
34.908 -83.179
34.905 -83.181
34.9 -83.187
34.898 -83.19
34.898 -83.192
34.898 -83.195
34.895 -83.198
34.894 -83.203
34.89 -83.205
34.885 -83.201
34.88 -83.206
34.88 -83.21
34.883 -83.213
34.878 -83.22
34.88 -83.229
34.878 -83.232
34.877 -83.238
34.876 -83.239
34.873 -83.239
34.872 -83.239
34.87 -83.238
34.867 -83.241
34.866 -83.243
34.866 -83.246
34.863 -83.247
34.858 -83.247
34.856 -83.25
34.853 -83.253
34.848 -83.254
34.846 -83.255
34.846 -83.256
34.845 -83.258
34.846 -83.26
34.846 -83.261
34.846 -83.262
34.846 -83.265
34.845 -83.268
34.837 -83.27
34.833 -83.267
34.821 -83.268
34.818 -83.271
34.817 -83.276
34.821 -83.283
34.823 -83.285
34.824 -83.29
34.823 -83.291
34.819 -83.291
34.815 -83.294
34.814 -83.297
34.814 -83.298
34.814 -83.299
34.814 -83.301
34.813 -83.302
34.812 -83.303
34.811 -83.303
34.809 -83.301
34.804 -83.301
34.802 -83.304
34.8 -83.314
34.79 -83.324
34.789 -83.324
34.774 -83.32
34.765 -83.321
34.76 -83.32
34.753 -83.327
34.748 -83.332
34.742 -83.339
34.737 -83.349
34.73 -83.353
34.729 -83.353
34.716 -83.352
34.714 -83.351
34.713 -83.351
34.708 -83.35
34.705 -83.348
34.704 -83.348
34.703 -83.348
34.701 -83.35
34.699 -83.35
34.698 -83.349
34.696 -83.348
34.695 -83.346
34.694 -83.345
34.691 -83.342
34.689 -83.34
34.687 -83.339
34.686 -83.339
34.684 -83.339
34.682 -83.339
34.681 -83.336
34.681 -83.335
34.681 -83.332
34.681 -83.33
34.68 -83.327
34.68 -83.325
34.678 -83.321
34.676 -83.319
34.675 -83.319
34.669 -83.316
34.669 -83.314
34.67 -83.309
34.67 -83.305
34.667 -83.301
34.662 -83.301
34.654 -83.293
34.651 -83.287
34.645 -83.278
34.642 -83.272
34.64 -83.262
34.638 -83.255
34.632 -83.248
34.626 -83.245
34.625 -83.241
34.624 -83.241
34.618 -83.243
34.615 -83.239
34.612 -83.234
34.611 -83.232
34.611 -83.231
34.611 -83.229
34.611 -83.228
34.61 -83.221
34.611 -83.212
34.608 -83.2
34.606 -83.197
34.608 -83.179
34.607 -83.176
34.607 -83.173
34.605 -83.17
34.604 -83.17
34.602 -83.17
34.599 -83.171
34.593 -83.17
34.592 -83.17
34.591 -83.168
34.588 -83.155
34.578 -83.153
34.578 -83.152
34.568 -83.14
34.562 -83.13
34.562 -83.127
34.56 -83.123
34.55 -83.114
34.547 -83.11
34.54 -83.104
34.537 -83.104
34.533 -83.103
34.532 -83.102
34.532 -83.097
34.533 -83.093
34.532 -83.088
34.531 -83.085
34.53 -83.084
34.525 -83.078
34.524 -83.078
34.518 -83.087
34.516 -83.087
34.506 -83.075
34.502 -83.069
34.501 -83.066
34.504 -83.058
34.503 -83.054
34.501 -83.053
34.497 -83.05
34.493 -83.048
34.489 -83.044
34.483 -83.035
34.483 -83.033
34.484 -83.029
34.473 -83.005
34.472 -83.003
34.472 -82.996
34.472 -82.995
34.473 -82.995
34.474 -82.995
34.475 -82.995
34.476 -82.995
34.479 -82.993
34.479 -82.992
34.483 -82.98
34.482 -82.965
34.482 -82.961
34.477 -82.955
