segment Ohio
41.976 -80.519
41.944 -80.519
41.937 -80.519
41.929 -80.519
41.892 -80.519
41.866 -80.519
41.863 -80.519
41.862 -80.519
41.791 -80.519
41.765 -80.519
41.752 -80.519
41.739 -80.519
41.714 -80.519
41.701 -80.519
41.671 -80.519
41.67 -80.519
41.644 -80.519
41.607 -80.519
41.571 -80.519
41.539 -80.519
41.532 -80.519
41.529 -80.519
41.5 -80.519
41.463 -80.519
41.435 -80.519
41.424 -80.519
41.416 -80.519
41.387 -80.519
41.379 -80.519
41.372 -80.519
41.361 -80.519
41.351 -80.519
41.341 -80.519
41.34 -80.519
41.339 -80.519
41.337 -80.519
41.336 -80.519
41.333 -80.519
41.312 -80.519
41.306 -80.519
41.273 -80.519
41.268 -80.519
41.265 -80.519
41.249 -80.519
41.243 -80.519
41.233 -80.519
41.219 -80.519
41.209 -80.519
41.203 -80.519
41.201 -80.519
41.193 -80.519
41.171 -80.519
41.146 -80.519
41.133 -80.519
41.125 -80.519
41.116 -80.519
41.105 -80.519
41.101 -80.519
41.091 -80.519
41.082 -80.519
41.075 -80.519
41.072 -80.519
41.071 -80.519
41.062 -80.519
41.03 -80.519
41.024 -80.519
41.015 -80.519
40.995 -80.519
40.988 -80.519
40.986 -80.519
40.958 -80.519
40.953 -80.519
40.921 -80.519
40.907 -80.52
40.901 -80.52
40.9 -80.52
40.878 -80.519
40.85 -80.519
40.849 -80.519
40.835 -80.519
40.813 -80.519
40.801 -80.519
40.792 -80.519
40.775 -80.519
40.77 -80.519
40.726 -80.519
40.717 -80.519
40.674 -80.519
40.669 -80.519
40.654 -80.519
40.65 -80.519
40.649 -80.519
40.643 -80.519
40.639 -80.519
40.637 -80.522
40.637 -80.523
40.636 -80.526
40.636 -80.53
40.636 -80.531
40.636 -80.532
40.636 -80.533
40.634 -80.535
40.634 -80.536
40.633 -80.538
40.632 -80.54
40.63 -80.546
40.629 -80.548
40.629 -80.551
40.624 -80.559
40.624 -80.561
40.623 -80.561
40.621 -80.564
40.618 -80.568
40.617 -80.569
40.616 -80.572
40.615 -80.572
40.615 -80.575
40.614 -80.577
40.614 -80.578
40.614 -80.579
40.614 -80.58
40.615 -80.581
40.615 -80.583
40.616 -80.584
40.619 -80.587
40.62 -80.589
40.622 -80.592
40.624 -80.594
40.625 -80.599
40.625 -80.604
40.622 -80.616
40.621 -80.618
40.62 -80.627
40.618 -80.631
40.617 -80.633
40.616 -80.634
40.613 -80.637
40.612 -80.639
40.611 -80.639
40.604 -80.644
40.604 -80.645
40.598 -80.652
40.596 -80.654
40.597 -80.654
40.597 -80.655
40.595 -80.657
40.592 -80.663
40.591 -80.663
40.588 -80.666
40.582 -80.668
40.578 -80.668
40.574 -80.667
40.57 -80.663
40.565 -80.655
40.563 -80.652
40.548 -80.641
40.539 -80.633
40.538 -80.63
40.536 -80.628
40.524 -80.623
40.52 -80.622
40.512 -80.621
40.502 -80.618
40.497 -80.614
40.49 -80.609
40.485 -80.603
40.484 -80.602
40.483 -80.599
40.475 -80.595
40.471 -80.595
40.463 -80.596
40.458 -80.598
40.45 -80.604
40.448 -80.605
40.447 -80.605
40.438 -80.611
40.435 -80.612
40.429 -80.613
40.427 -80.613
40.422 -80.613
40.419 -80.612
40.408 -80.613
40.404 -80.612
