segment Virginia
39.466 -78.347
39.429 -78.288
39.414 -78.263
39.391 -78.229
39.376 -78.206
39.375 -78.205
39.364 -78.187
39.353 -78.172
39.343 -78.158
39.334 -78.141
39.331 -78.137
39.331 -78.136
39.312 -78.109
39.312 -78.108
39.294 -78.08
39.264 -78.033
39.237 -77.991
39.203 -77.937
39.191 -77.919
39.153 -77.861
39.132 -77.828
39.14 -77.822
39.143 -77.822
39.145 -77.823
39.148 -77.823
39.152 -77.821
39.155 -77.818
39.165 -77.813
39.168 -77.811
39.169 -77.809
39.172 -77.806
39.174 -77.805
39.178 -77.804
39.179 -77.805
39.193 -77.798
39.194 -77.798
39.2 -77.798
39.201 -77.798
39.206 -77.795
39.21 -77.794
39.215 -77.789
39.224 -77.784
39.227 -77.781
39.229 -77.778
39.237 -77.771
39.249 -77.767
39.249 -77.771
39.25 -77.771
39.255 -77.771
39.256 -77.77
39.256 -77.769
39.258 -77.768
39.257 -77.767
39.258 -77.763
39.261 -77.762
39.263 -77.762
39.264 -77.761
39.268 -77.759
39.269 -77.758
39.275 -77.756
39.275 -77.755
39.277 -77.753
39.278 -77.753
39.28 -77.753
39.283 -77.753
39.289 -77.75
39.295 -77.747
39.312 -77.735
39.316 -77.73
39.318 -77.722
39.32 -77.72
39.321 -77.719
39.321 -77.716
39.322 -77.708
39.319 -77.697
39.318 -77.693
39.32 -77.687
39.323 -77.682
39.324 -77.682
39.324 -77.68
39.324 -77.679
39.324 -77.676
39.324 -77.675
39.322 -77.671
39.317 -77.667
39.317 -77.666
39.317 -77.665
39.316 -77.663
39.311 -77.651
39.31 -77.646
39.309 -77.646
39.308 -77.64
39.308 -77.636
39.307 -77.632
39.303 -77.616
39.304 -77.606
39.302 -77.599
39.301 -77.593
39.302 -77.588
39.305 -77.578
39.306 -77.57
39.306 -77.567
39.304 -77.563
39.302 -77.562
39.295 -77.563
39.286 -77.561
39.282 -77.557
39.279 -77.553
39.276 -77.551
39.272 -77.546
39.27 -77.544
39.267 -77.543
39.265 -77.541
39.262 -77.534
39.26 -77.526
39.259 -77.524
39.259 -77.522
39.258 -77.521
39.258 -77.52
39.257 -77.52
39.253 -77.508
39.251 -77.498
39.251 -77.497
39.25 -77.495
39.248 -77.487
39.246 -77.485
39.242 -77.481
39.235 -77.471
39.228 -77.46
39.226 -77.458
39.225 -77.458
39.222 -77.458
39.219 -77.46
39.218 -77.46
39.212 -77.47
39.208 -77.474
39.202 -77.476
39.195 -77.475
39.19 -77.477
39.189 -77.479
39.186 -77.486
39.182 -77.505
39.178 -77.511
39.171 -77.516
39.163 -77.521
39.161 -77.521
39.148 -77.525
39.146 -77.527
39.145 -77.527
39.137 -77.527
39.133 -77.526
39.128 -77.525
39.122 -77.521
39.122 -77.52
39.121 -77.52
39.12 -77.519
39.119 -77.516
39.119 -77.515
39.115 -77.504
39.114 -77.5
39.113 -77.495
39.112 -77.491
39.109 -77.486
39.106 -77.482
39.106 -77.481
39.101 -77.478
39.1 -77.477
39.095 -77.474
39.093 -77.472
39.086 -77.469
39.079 -77.465
39.076 -77.463
39.076 -77.462
39.075 -77.461
39.074 -77.458
39.072 -77.453
39.072 -77.445
39.071 -77.437
39.07 -77.436
39.069 -77.431
39.067 -77.425
39.067 -77.423
39.067 -77.422
39.067 -77.421
39.066 -77.415
39.064 -77.405
39.065 -77.399
39.065 -77.398
39.064 -77.397
39.062 -77.386
39.063 -77.381
39.063 -77.38
39.062 -77.379
39.062 -77.378
39.061 -77.375
