segment Pakistan
25.408 64.083
25.411 64.072
25.416 64.065
25.417 64.067
25.416 64.085
25.418 64.093
25.428 64.104
25.43 64.108
25.427 64.121
25.423 64.125
25.417 64.107
25.408 64.09
25.408 64.083
segment Pakistan
25.112 63.851
25.115 63.844
25.118 63.841
25.121 63.842
25.129 63.867
25.129 63.874
25.127 63.879
25.123 63.88
25.119 63.877
25.114 63.863
25.112 63.851
segment Pakistan
24.885 66.612
24.889 66.598
24.891 66.596
24.893 66.597
24.896 66.601
24.903 66.602
24.906 66.606
24.904 66.613
24.9 66.617
24.895 66.619
24.891 66.618
24.887 66.616
24.885 66.612
segment Pakistan
24.792 67.232
24.794 67.225
24.8 67.222
24.802 67.212
24.805 67.212
24.806 67.216
24.801 67.226
24.793 67.233
24.792 67.232
segment Pakistan
24.751 67.183
24.756 67.169
24.761 67.165
24.773 67.162
24.776 67.165
24.778 67.169
24.776 67.172
24.772 67.178
24.774 67.182
24.773 67.188
24.775 67.192
24.781 67.194
24.783 67.198
24.79 67.204
24.789 67.21
24.793 67.215
24.785 67.228
24.782 67.229
24.776 67.227
24.767 67.197
24.763 67.19
24.755 67.189
24.751 67.183
segment Pakistan
24.764 67.252
24.774 67.24
24.78 67.237
24.781 67.245
24.779 67.248
24.783 67.252
24.785 67.261
24.786 67.271
24.785 67.28
24.782 67.286
24.778 67.289
24.775 67.286
24.772 67.279
24.765 67.272
24.754 67.267
24.751 67.264
24.751 67.257
24.753 67.251
24.758 67.249
24.762 67.249
24.764 67.252
segment Pakistan
24.772 67.297
24.774 67.303
24.774 67.311
24.767 67.317
24.763 67.324
24.764 67.335
24.76 67.341
24.758 67.341
24.756 67.342
24.746 67.337
24.739 67.332
24.735 67.326
24.736 67.32
24.744 67.316
24.747 67.311
24.742 67.288
24.736 67.279
24.721 67.263
24.713 67.25
24.712 67.244
24.716 67.24
24.721 67.235
24.728 67.234
24.73 67.238
24.73 67.243
24.736 67.249
24.745 67.268
24.749 67.272
24.756 67.276
24.766 67.286
24.772 67.297
segment Pakistan
24.704 67.189
24.715 67.179
24.727 67.174
24.736 67.179
24.741 67.186
24.746 67.204
24.748 67.207
24.76 67.231
24.76 67.238
24.758 67.241
24.75 67.244
24.745 67.25
24.742 67.248
24.737 67.234
24.727 67.218
24.724 67.199
24.705 67.193
24.704 67.189
segment Pakistan
24.69 67.141
24.692 67.133
24.703 67.123
24.723 67.116
24.725 67.116
24.74 67.113
24.747 67.113
24.753 67.117
24.752 67.121
24.748 67.124
24.749 67.128
24.755 67.131
24.755 67.137
24.739 67.151
24.735 67.153
24.712 67.148
24.693 67.144
24.69 67.141
segment Pakistan
24.731 67.285
24.736 67.295
24.737 67.303
24.734 67.313
24.728 67.325
24.727 67.33
24.73 67.332
24.735 67.338
24.735 67.347
24.728 67.353
24.724 67.361
24.717 67.369
24.718 67.375
24.712 67.381
24.711 67.385
24.704 67.386
24.7 67.391
24.697 67.391
24.693 67.383
24.695 67.372
24.694 67.35
24.692 67.34
24.687 67.333
24.678 67.33
24.677 67.327
24.68 67.322
24.679 67.317
24.682 67.312
24.691 67.305
24.693 67.293
24.692 67.29
24.692 67.287
24.688 67.286
24.683 67.287
24.675 67.296
24.671 67.295
24.67 67.292
24.67 67.276
24.668 67.272
24.664 67.272
24.654 67.275
24.654 67.271
24.657 67.266
24.661 67.263
24.671 67.266
24.678 67.273
24.679 67.272
24.679 67.269
24.678 67.266
24.679 67.26
24.675 67.253
24.677 67.248
24.681 67.246
24.694 67.24
24.697 67.236
24.697 67.227
24.699 67.224
24.716 67.217
24.72 67.217
24.723 67.22
24.723 67.226
24.708 67.243
24.706 67.248
24.706 67.254
24.71 67.261
24.726 67.275
24.728 67.279
24.731 67.285
segment Pakistan
24.667 67.241
24.668 67.232
24.668 67.222
24.67 67.218
24.681 67.214
24.682 67.211
24.691 67.189
24.695 67.188
24.697 67.19
24.697 67.195
24.705 67.2
24.707 67.203
24.716 67.21
24.717 67.212
24.691 67.22
24.689 67.222
24.688 67.231
24.682 67.239
24.676 67.243
24.67 67.246
24.668 67.245
24.667 67.241
segment Pakistan
24.645 67.432
24.654 67.42
24.657 67.417
24.657 67.412
24.656 67.41
24.648 67.407
24.647 67.402
24.651 67.399
24.651 67.395
24.649 67.39
24.651 67.387
24.664 67.377
24.671 67.37
24.672 67.367
24.672 67.347
24.676 67.342
24.682 67.339
24.686 67.341
24.689 67.352
24.689 67.364
24.689 67.386
24.696 67.406
24.698 67.421
24.697 67.426
24.691 67.429
24.681 67.422
24.674 67.415
24.67 67.416
24.661 67.426
24.648 67.437
24.645 67.436
24.645 67.432
segment Pakistan
24.673 67.125
24.674 67.121
24.677 67.116
24.68 67.114
24.685 67.113
24.69 67.116
24.689 67.121
24.682 67.126
24.678 67.133
24.675 67.134
24.674 67.131
24.673 67.125
segment Pakistan
24.663 67.316
24.687 67.291
24.688 67.296
24.686 67.301
24.678 67.308
24.67 67.321
24.663 67.316
segment Pakistan
24.663 67.216
24.663 67.237
24.661 67.243
24.662 67.254
24.661 67.257
24.653 67.258
24.651 67.266
24.647 67.269
24.633 67.277
24.63 67.282
24.627 67.283
24.614 67.281
24.603 67.273
24.598 67.265
24.597 67.256
24.602 67.246
24.609 67.242
24.611 67.238
24.616 67.226
24.621 67.22
24.626 67.217
24.637 67.222
24.639 67.22
24.639 67.215
24.625 67.203
24.629 67.196
24.627 67.192
24.624 67.182
24.627 67.18
24.628 67.179
24.637 67.182
24.648 67.175
24.654 67.176
24.663 67.171
24.666 67.172
24.677 67.183
24.681 67.193
24.681 67.198
24.679 67.203
24.674 67.209
24.663 67.216
segment Pakistan
24.655 67.343
24.651 67.334
24.645 67.333
24.641 67.329
24.641 67.324
24.647 67.313
24.66 67.307
24.662 67.309
24.662 67.312
24.659 67.316
24.659 67.32
24.666 67.325
24.67 67.331
24.677 67.334
24.671 67.338
24.667 67.343
24.662 67.345
24.655 67.343
segment Pakistan
24.655 67.343
24.656 67.347
24.664 67.352
24.667 67.358
24.667 67.367
24.664 67.369
24.652 67.365
24.65 67.345
24.655 67.343
segment Pakistan
24.635 67.293
24.635 67.284
24.638 67.281
24.644 67.279
24.651 67.283
24.658 67.28
24.661 67.281
24.663 67.283
24.662 67.291
24.666 67.299
24.662 67.303
