EARTHQUAKE RATE UNCERTAINTY OUTPUT 
parameter file,crustal-nov2024-params.rplus
RData file,rateunc-Crustal-Full-nov2124.RData
Calculation start and end,Thu Nov 21 16:14:56 2024,Thu Nov 21 16:21:28 2024
Region name,Crustal
Version,nov2124
Catalog type,Full
b mean,0.97
b sigma,0.12
max n sigma b,3
delta,0.1
M1,5
Mmax,7.9
Mc sigma,0.2
max n sigma Mc,3
min M sigma,0.2
max n sigma M,3
n subregions,1
Subregion,1,All
catalog file,catalogs//pmmx_june7_c2-crustal2_v11m.csv.RData
n epochs,2
t start,t end,Mc
1900,1973,6
1973,2024,5
BRANCHES Note: quantile=2 is used to label a mean branch
Note: all rates are cumulative
Note: quantile=2 is used to label a mean branch
M1 Branches
n quantiles,6
quantile,Rate M>=M1,b
2,1.65,0.97
0.025,0.845,1.21
0.16,1.14,1.09
0.5,1.55,0.97
0.84,2.15,0.85
0.975,3.03,0.73
M1-Mmax Branches
n quantiles,6
quantile,Rate M>=M1,b
2,1.65,0.949
0.025,0.845,1.06
0.16,1.14,1.02
0.5,1.55,0.969
0.84,2.15,0.923
0.975,3.03,0.884
Exact Branches
n quantiles,6
n magnitudes,73
Mag,quantiles...
,2,0.025,0.16,0.5,0.84,0.975
2.5,641.37,70.466,164.73,410.6,1050.9,2656.1
2.6,500.93,59.341,135.29,328.32,818.23,2016.3
2.7,391.51,50.031,110.92,262.88,637.74,1531.7
2.8,306.21,42.126,91.133,210.24,496.58,1165.3
2.9,239.67,35.437,74.801,168.16,387.06,885.75
3,187.71,29.824,61.448,134.47,301.42,672.13
3.1,147.13,25.068,50.435,107.52,234.85,511
3.2,115.4,21.105,41.397,86.053,183.11,388.18
3.3,90.576,17.753,33.966,68.829,142.78,295.23
3.4,71.145,14.927,27.857,55.124,111.37,224.47
3.5,55.922,12.556,22.852,44.113,86.823,170.91
3.6,43.989,10.534,18.76,35.274,67.708,130.23
3.7,34.627,8.8487,15.398,28.222,52.777,99.17
3.8,27.278,7.4357,12.629,22.572,41.184,75.444
3.9,21.504,6.2468,10.354,18.053,32.125,57.532
4,16.964,5.2385,8.4906,14.445,25.064,43.876
4.1,13.393,4.3936,6.9606,11.555,19.553,33.508
4.2,10.582,3.6816,5.7046,9.246,15.282,25.541
4.3,8.3664,3.0773,4.6739,7.3954,11.934,19.517
4.4,6.6198,2.5785,3.83,5.9152,9.3211,14.921
4.5,5.2418,2.1508,3.1321,4.7324,7.2868,11.393
