name,                            lon,    lat
Anderson AFB (ATC) GU,        144.90,  13.60
Central GU,                   144.80,  13.50
Dededo GU,                    144.90,  13.50
Northeast GU,                 144.90,  13.60
Santa Rita GU,                144.70,  13.40
Southwest GU,                 144.70,  13.30
Yigo GU,                      144.90,  13.50
Yona GU,                      144.80,  13.40
Saipan (central) MP,          145.70,  15.20
Saipan MP,                    145.80,  15.20
Tinian MP,                    145.60,  15.00
